enabled,playlist_name,playlist_tvg_id,provider_group,region,source,source_id,notes
1,BCU Cosmo HDR,,,,openbox-tsd,bcu-cosmo-hdr,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Fantastic HDR,,,,openbox-tsd,bcu-fantastic,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU FilMystic HDR,,,,openbox-tsd,bcu-filmystic,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Marvel OLD,,,,openbox-tsd,bcu-marvel,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Premiere 1 HDR,,,,openbox-tsd,bcu-premiere-1,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Premiere 2 HDR,,,,openbox-tsd,bcu-premiere-2,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Premiere HDR,,,,openbox-tsd,bcu-premiere,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Reality OLD,,,,openbox-tsd,bcu-reality,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Romantic OLD,,,,openbox-tsd,bcu-romantic,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Russia 90s HD,,,,openbox-tsd,bcu-russia-90s,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Survival OLD,,,,openbox-tsd,bcu-survival,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU_BIOGRAPHY_HDR,,,,openbox-tsd,bcu-biography,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU_UTIFY_1_HDR,,,,openbox-tsd,bcu-unity-1,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU_UTIFY_2_HD,,,,openbox-tsd,bcu-unity-2,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU_UTIFY_3_HD,,,,openbox-tsd,bcu-unity-3,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCUMEDIA_3_HDR,,,,openbox-tsd,bcu-media-3,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,TVPlay DC Comics HD,,,,runigma-iptv,tvplay-comics-hd,Runigma exact TVPlay ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,TVPlay Indian Cinema,,,,runigma-iptv,tvplay-indiancinema,Runigma exact TVPlay ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,TVPlay Авторский перевод HD,,,,runigma-iptv,tvplay-avtorskiyperevod,Runigma exact TVPlay ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,TVPlay АЛЬФ,,,,runigma-iptv,tvplay-alf,Runigma exact TVPlay ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,TVPlay Игра Престолов HD,,,,runigma-iptv,tvplay-igraprestolov,Runigma exact TVPlay ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,TVPlay Латинские сериалы ретро,,,,runigma-iptv,tvplay-latserialretro,Runigma exact TVPlay ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,TVPlay Лихие 90е Сериал,,,,runigma-iptv,tvplay-lixie90serial,Runigma exact TVPlay ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CineMan Дубляж СССР,,,,openbox-tsd,cineman-dublyazh-sssr,Openbox/t-s-d exact CineMan ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CineMan Комедийные сериалы,,,,openbox-tsd,cineman-komediynie-seriali,Openbox/t-s-d exact CineMan ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CineMan Комедийные сериалы,,,,runigma-iptv,cineman-ruserials,Runigma alternate listing for same CineMan branded channel; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Action HD,,,,runigma-iptv,cinema-action-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Comedy HD,,,,runigma-iptv,cinema-comedy-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Family HD,,,,runigma-iptv,cinema-family-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Fantasy HD,,,,runigma-iptv,cinema-fantasy-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Kinohit HD,,,,runigma-iptv,cinema-kinohit-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Legend HD,,,,runigma-iptv,cinema-legend-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Megahit HD,,,,runigma-iptv,cinema-megahit-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Prime HD,,,,runigma-iptv,cinema-prime-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Kino Action HD,,,,runigma-iptv,kino-action-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Kino Comedy HD,,,,runigma-iptv,kino-comedy-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Kino Premiere HD,,,,runigma-iptv,kino-premiere-ua,Runigma exact UA family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Cinema Horrors HD,,,,openbox-tsd,cinema-horrors,Openbox/t-s-d exact ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Action Prime HD,,,,openbox-tsd,action-prime,Openbox/t-s-d exact ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Premium Action HD,,,,openbox-tsd,premium-action,Openbox/t-s-d exact ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,Premium Comedy HD,,,,openbox-tsd,premium-comedy,Openbox/t-s-d exact ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,TvBoom.ViP,,,,iptvx-noarch,tvboomvip,iptvX exact ID; live EPG updated 2026-08-16; verified 2026-08-16
1,KBC-В.О.В. HD,,,,openbox-tsd,kbc-vov,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Comics HD,,,,openbox-tsd,kbc-comics,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Elite comedy's HD,,,,openbox-tsd,kbc-elite-comedys,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Fantastic HD,,,,openbox-tsd,kbc-fantastic,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-History HD,,,,openbox-tsd,kbc-history,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Newfilm HD,,,,openbox-tsd,kbc-newfilm,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-WAR HD,,,,openbox-tsd,kbc-war,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Russian Комедия HD,,,,openbox-tsd,kbc-russian-komediya,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Видак HD,,,,openbox-tsd,kbc-vidak,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-ГАЙ Ritchie & Tarantino,,,,openbox-tsd,kbc-gay-ritchie-and-tarantino,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-ДрамаTic HD,,,,openbox-tsd,kbc-drama-tic,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Вестерн HD,,,,openbox-tsd,kbc-vestern,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Кошмарное HD,,,,openbox-tsd,kbc-koshmarnoe,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Страна СССР,,,,openbox-tsd,kbc-strana-sssr,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Animals HD,,,,openbox-tsd,kbc-animals,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-MusKino HD,,,,openbox-tsd,kbc-muskino,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-СпортМикс HD,,,,openbox-tsd,kbc-sportmiks,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-ГОБЛИН HD,,,,openbox-tsd,kbc-goblin,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Шпионское HD,,,,openbox-tsd,kbc-shpionskoe,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-АНИМЕ HD,,,,openbox-tsd,kbc-anime,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Легендарное HD,,,,openbox-tsd,kbc-legendarnoe,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Союзмультзал,,,,openbox-tsd,kbc-soyuz-multzal,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-Family Animation HD,,,,openbox-tsd,kbc-family-animation,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC-НАШ ROCK,,,,openbox-tsd,kbc-nash-rock,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,KBC+100500 (18+),,,,openbox-tsd,kbcplus100500,t-s-d exact KBC family ID; current catalogue has programmes through 2026-08-24; verified 2026-08-16; runtime freshness gate required
1,VeleS Криминальный,,,,openbox-tsd,veles-kriminalniy,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Наше Кино,,,,openbox-tsd,veles-nashe-kino,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Вестерн,,,,openbox-tsd,veles-vestern,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS 60FPS,,,,openbox-tsd,veles-60fps,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS С Новым годом!,,,,openbox-tsd,veles-newyear,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Комедия,,,,openbox-tsd,veles-komediya,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Аниме,,,,openbox-tsd,veles-anime,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Триллер,,,,openbox-tsd,veles-triller,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Семейный,,,,openbox-tsd,veles-semeyniy,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Гоблин,,,,openbox-tsd,veles-goblin,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Киносерия,,,,openbox-tsd,veles-kinoseries,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Premiere,,,,openbox-tsd,veles-premiere,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Страшное,,,,openbox-tsd,veles-strashnoe,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS СССР,,,,openbox-tsd,veles-ussr,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Movie Hits,,,,openbox-tsd,veles-movies-hits,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,VeleS Kids,,,,openbox-tsd,veles-kids,t-s-d exact VeleS family mapping; current indexed schedule verified 2026-08-16; runtime freshness gate required
1,KLI Action HD,,,,runigma-iptv,kli-action-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Comedy HD,Xklicomedi,,,runigma-iptv,kli-komediya-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI DRAMA HD,Xklidrama,,,runigma-iptv,kli-drama-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Family HD,Xklifamily,,,runigma-iptv,kli-family-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Fantasy HD,Xklifantasy,,,runigma-iptv,kli-fantasy-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Horror FHD,Xklihorror,,,runigma-iptv,kli-horror-fhd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Marvel HD,Xklimarvel,,,runigma-iptv,kli-marvel-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Premium HD,Xklipremium,,,runigma-iptv,kli-premium-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Russian HD,Xklirussian,,,runigma-iptv,kli-russian-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Thriller HD,,,,runigma-iptv,kli-thriller-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI VHS HD,Xklivhs,,,runigma-iptv,kli-vhs-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Киносерия HD,Xklikinoseries,,,runigma-iptv,kli-kinoseriya-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Новинки HD,Xklinovinci,,,runigma-iptv,kli-new-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Retro,99938,,,runigma-iptv,kli-retro-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI СССР HD,Xkliussr,,,runigma-iptv,kli-sssr-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI UHD 4K,XKLIUHD4K,,,runigma-iptv,kli-uhd-4k,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Новинки 4K Ultra HD,Xklinovinci4k,,,runigma-iptv,kli-new-4k,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Мультики HD,Kklimult,,,runigma-iptv,kli-mult-hd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,KLI Kids FHD,99914,,,runigma-iptv,kli-kids-fhd,Runigma current catalog exact KLI identity verified 2026-08-16; runtime current-programme gate required
1,Velilla TV Домашний HD,velillatvdomashniy,,,iptvx-noarch,velilla-domashny,Velilla identity confirmed by provider catalog; iptvX canonical alias verified 2026-08-16; runtime current-programme gate required
1,Velilla TV Magenta Musik Festivals HD,magentamusik,,,iptvx-noarch,velilla-magentamusik,Velilla identity confirmed by provider catalog; iptvX canonical alias verified 2026-08-16; runtime current-programme gate required
